,C1,C2,Splitpoint,Predicted ERT,Achieved ERT
0,10110001010,01101000110,10e-1.2,1337.3,1269.8
1,01000111010,01100000110,10e0.4,1322.7,1264.0
2,01110111010,01100000110,10e0.4,1319.9,1266.8
3,01100111110,01100000110,10e0.4,1326.4,1280.9
4,10110001010,01111000110,10e-1.8,1342.9,1298.9
5,01000111010,11101000110,10e0.4,1322.0,1110.5
6,10100001010,01101000110,10e-1.2,1351.1,1283.7
7,01100111110,11101000110,10e0.4,1325.7,1121.2
8,01010111010,11101000110,10e0.4,1330.2,1131.8
9,00110000000,01101000110,10e-1.4,1356.8,1348.9
10,01010111010,01111000110,10e0.4,1344.4,1127.8
11,00110000000,01111000110,10e-2.0,1359.4,1362.9
12,10110001010,01111000100,10e-1.4,1364.6,1274.4
13,01010111010,01111000120,10e0.4,1349.6,1128.4
14,01110111020,01111000120,10e0.4,1352.5,1126.2
15,01110111020,01111000100,10e0.4,1352.5,1126.2
16,01010111020,01111000120,10e0.4,1353.7,1144.7
17,01010111020,01111000100,10e0.4,1353.7,1144.7
18,01010111020,01101000010,10e0.2,1369.5,1132.6
19,01100111120,01101000010,10e0.2,1368.5,1140.1
20,01010111120,01101000010,10e0.2,1371.4,1138.4
21,00110000020,01001000110,10e-2.2,1381.3,1365.5
22,00110000000,01001000110,10e-2.2,1381.3,1365.5
23,10100001010,01001000110,10e-1.6,1384.6,1302.1
24,00110000020,01011000110,10e-2.2,1380.9,1368.5
25,01100111120,01101000120,10e0.4,1376.5,1165.9
26,10100001010,01011000110,10e-1.8,1388.7,1313.6
27,01010111120,01101000120,10e0.4,1375.8,1189.3
28,01010111120,11111000110,10e0.4,1363.4,1142.9
29,00110000020,01101000120,10e-2.0,1392.5,1371.2
30,01100111020,00110000020,10e1.0,1390.0,1432.1
31,01100111020,00110000000,10e1.0,1390.0,1432.1
32,00110000010,01011000110,10e-2.6,1402.0,1393.2
33,00110000010,01011000010,10e-2.2,1409.4,1374.9
34,11110111020,00110000020,10e1.2,1340.7,1439.3
35,11110111020,00110000000,10e1.2,1340.7,1439.3
36,11110111020,00110000010,10e1.2,1345.3,1411.5
37,00110000010,01111000010,10e-2.4,1411.9,1381.2
38,11100111020,00110000020,10e1.0,1395.1,1482.3
39,11100111020,00110000000,10e1.0,1395.1,1482.3
