,C1,C2,Splitpoint,Predicted ERT,Achieved ERT
0,01110110110,01111000010,10e-2.0,1455.6,1436.3
1,01110110110,01111000020,10e-2.0,1464.5,1452.2
2,01110110110,01110000110,10e-1.6,1475.4,1478.2
3,01111110010,01111000010,10e-2.2,1479.5,1464.1
4,11111110010,01111000010,10e-2.2,1483.9,1466.7
5,01111110010,01111000020,10e-2.4,1486.9,1479.7
6,11111110010,01111000020,10e-2.4,1490.9,1485.6
7,01111110010,01110000110,10e-2.2,1502.4,1516.4
8,11111110010,01110000110,10e-2.0,1509.2,1520.2
9,11111110110,01110110010,10e1.0,1495.1,1491.9
10,11110110110,01001000110,10e-2.2,1513.4,1504.9
11,11110110110,01111000100,10e-2.6,1513.7,1511.9
12,11110110110,01111000120,10e-2.6,1513.7,1511.9
13,01110110010,01111000100,10e-3.2,1515.7,1514.1
14,01110110010,01111000120,10e-3.2,1515.7,1514.1
15,11111110110,11110110010,10e1.0,1496.5,1491.9
16,01110110010,01011000020,10e-2.8,1515.5,1509.1
17,01111110110,01110110010,10e0.8,1515.3,1513.0
18,11110110010,01111000100,10e-3.0,1524.4,1519.4
19,11110110010,01111000120,10e-3.0,1524.4,1519.4
20,11110110010,01011000020,10e-2.8,1524.1,1520.7
21,01111110110,11110110010,10e0.8,1523.7,1513.0
22,01111110110,01001000110,10e-1.6,1534.8,1523.5
23,11111110110,01001000110,10e-1.4,1537.8,1523.8
24,11011110120,11110110010,10e1.4,1536.4,1562.8
25,11001110010,01110110010,10e0.6,1544.0,1559.3
26,01000110010,01011000020,10e-2.6,1569.0,1570.1
27,01000110010,00111000000,10e-2.6,1575.2,1572.3
28,10000110010,01101000000,10e-1.4,1572.8,2084.4
29,10000110010,01101000020,10e-1.4,1572.8,2084.4
30,11001110010,01101000020,10e-1.6,1575.6,1549.3
31,11001110010,01101000000,10e-1.6,1575.6,1549.3
32,10000110010,01110000100,10e-1.4,1578.1,2136.7
33,11111110120,01111110010,10e1.6,1556.9,1816.4
34,01000110010,01001000020,10e-2.0,1574.2,1563.1
35,11011110120,01111110010,10e1.4,1559.4,1600.0
36,11111110120,11111110010,10e1.6,1557.1,1816.4
37,11011110120,11111110010,10e1.4,1564.5,1600.0
38,11110110120,01111110010,10e1.6,1576.1,1649.7
39,11000110010,00111000000,10e-2.6,1590.5,1592.9
40,11110110120,11111110010,10e1.6,1576.3,1649.7
41,11111110120,01110110110,10e1.6,1585.1,1636.8
42,11000110010,01110000100,10e-2.6,1595.5,1624.0
43,11000110010,01110000120,10e-2.6,1595.5,1624.0
44,01001110010,00111000000,10e-2.4,1593.8,1603.1
45,01001110010,01001000020,10e-2.2,1601.1,1600.4
46,01001110010,01110000100,10e-2.4,1598.8,1638.6
47,11110110120,01110110110,10e1.6,1604.3,1616.9
48,01011110120,01110110110,10e1.6,1603.2,1614.7
49,01110110120,01110111110,10e1.2,1620.0,1700.0
