,C1,C2,Splitpoint,Predicted ERT,Achieved ERT
0,00110110010,00110101110,10e0.0,5298.5,33753.5
1,00110110010,00110101120,10e0.0,5566.6,34179.0
2,00110110010,00110101100,10e0.0,5566.6,34179.0
3,00110010010,00110101110,10e0.0,5795.5,40305.0
4,00110010020,00110101110,10e0.0,6010.8,41742.8
5,00110010010,00110101100,10e0.0,6063.6,39275.9
6,00110010010,00110101120,10e0.0,6063.6,39275.9
7,00110010020,00110101120,10e0.0,6278.9,41778.5
8,00110010020,00110101100,10e0.0,6278.9,41778.5
9,00110110020,00100101110,10e0.0,8066.4,42009.8
10,10110010010,00100101110,10e0.0,8523.4,47260.9
11,00101010020,00100101110,10e0.0,8652.0,47291.9
12,00110110020,00000101110,10e0.0,8994.8,41455.3
13,10110010010,00000101110,10e0.0,9451.7,42753.3
14,00101010020,00000101110,10e0.0,9580.4,51640.5
15,00110110020,00111101100,10e0.0,10745.6,46521.2
16,10110010010,00111101100,10e0.0,11202.6,51594.6
17,00101010020,00111101100,10e0.0,11331.2,52915.8
18,10110010020,00111101120,10e0.0,11332.6,54561.1
19,10110010000,00111101120,10e0.0,11332.6,54561.1
20,10110000100,00111101120,10e0.0,11238.9,44156.2
21,10110010020,00110100010,10e0.0,11577.1,54962.1
22,10110010000,00110100010,10e0.0,11577.1,54962.1
23,10110000120,00110100010,10e0.0,11483.4,41083.5
24,00001110010,00111101110,10e0.2,11978.6,40317.2
25,10110000120,00111101110,10e0.2,11908.5,48993.4
26,10110000100,00111101110,10e0.2,11908.5,48993.4
27,00001110010,00001101110,10e0.2,13043.2,42662.0
28,10110000100,00001101110,10e0.2,12973.0,47414.9
29,10110000120,00001101110,10e0.2,12973.0,47414.9
30,00001110010,00010101110,10e0.2,13382.6,42487.1
31,10110010000,00010101110,10e0.0,13697.7,48389.1
32,00010110010,00101101110,10e0.2,14529.4,51992.4
33,00000010010,00101101110,10e0.2,14990.7,63256.3
34,00010110010,00011101110,10e0.2,15885.9,46755.1
35,00000010010,00011101110,10e0.2,16347.2,51046.8
36,10110111010,00110101020,10e0.2,16044.5,66181.8
37,00010110010,00110101000,10e0.2,16001.8,42864.8
38,00000010010,00110101020,10e0.2,16463.1,61851.2
39,10100010000,00110101000,10e0.2,17029.7,61282.2
40,10100010000,00110101020,10e0.2,17029.7,61282.2
41,10111010010,00110101000,10e0.2,17124.6,63689.2
42,10100010000,00000101120,10e0.2,17339.3,97556.8
43,10111010010,00000101120,10e0.2,17434.2,89258.3
44,10111010010,00100100010,10e0.2,18509.1,49387.6
45,10101000120,00000101120,10e0.2,18577.0,71549.8
46,10101000120,00100100010,10e0.2,19651.9,40490.9
