,C1,C2,Splitpoint,Predicted ERT,Achieved ERT
0,00110010010,00110000110,10e1.0,9104.1,9189.0
1,10110010010,00110000110,10e1.0,9231.7,9557.3
2,00110011010,00110000110,10e1.6,9110.2,9662.5
3,00110010010,00110000120,10e1.0,10087.2,9490.6
4,00110010010,00110000100,10e1.0,10087.2,9490.6
5,10110010010,00110000100,10e1.0,10214.8,9935.7
6,10110010010,00110000120,10e1.0,10214.8,9935.7
7,10110010000,00110000120,10e1.2,10238.8,10105.0
8,10110010020,00110000100,10e1.2,10238.8,10105.0
9,10110010020,00100000100,10e1.0,10509.6,10343.8
10,10110010000,00100000120,10e1.0,10509.6,10343.8
11,10110010000,00100000100,10e1.0,10509.6,10343.8
12,10110010020,00100000120,10e1.0,10509.6,10343.8
13,00110000100,00100000120,10e1.0,10476.9,11670.2
14,00110000100,00100000100,10e1.0,10476.9,11670.2
15,00110011010,00110010010,10e1.6,10934.4,10816.9
16,10100010010,00110010010,10e1.6,10964.5,12925.8
17,00111010010,00110010010,10e1.6,10967.8,12461.6
18,00110011010,10110010010,10e1.6,10969.6,10816.9
19,00110000120,00100000110,10e1.0,11087.5,10235.3
20,00110000100,00100000110,10e1.0,11087.5,10235.3
21,10100010010,10110010010,10e1.6,10999.7,12925.8
22,00111010010,10110010010,10e1.6,11003.0,12461.6
23,00110000110,00100000110,10e1.0,11085.5,10685.6
24,10100010010,10110010000,10e1.6,12015.0,12310.3
25,00111010010,10110010000,10e1.6,12018.2,12530.5
26,00110000120,10110010020,10e1.0,11972.4,14771.1
27,00110000120,10110010000,10e1.0,11972.4,14771.1
28,00110010020,10110010020,10e1.6,12008.0,13126.3
29,00110010000,10110010020,10e1.6,12008.0,13126.3
30,00110000110,00110010020,10e1.0,12249.1,11185.7
31,00110000110,00110010000,10e1.0,12249.1,11185.7
32,00110010000,00110010000,10e1.6,12306.4,13126.3
33,00110010000,00110010020,10e1.6,12306.4,13126.3
34,00110010020,00110010000,10e1.6,12306.4,13126.3
35,00110010020,00110010020,10e1.6,12306.4,13126.3
36,00111010000,00111000110,10e1.0,12373.9,14819.5
37,10111010000,00111000110,10e1.0,12493.0,15284.3
38,10111010020,00111000110,10e1.0,12493.0,15284.3
39,00111010000,00110010100,10e1.0,12542.4,14363.1
40,00111010000,00110010120,10e1.0,12542.4,14363.1
41,10111010020,00110010120,10e1.0,12661.5,14378.1
42,10111010020,00110010100,10e1.0,12661.5,14378.1
43,10111010000,00110010100,10e1.0,12661.5,14378.1
44,10111010000,00110010120,10e1.0,12661.5,14378.1
45,00100000110,00101000110,10e1.0,12870.1,13848.1
46,00100010000,00101000110,10e1.0,12957.3,18304.0
47,00100000110,00110010110,10e1.0,12764.3,15430.6
48,00100000100,00101000110,10e1.0,12977.3,12962.0
49,00100010000,00110010110,10e1.0,12851.5,13956.0
