,C1,C2,Splitpoint,Predicted ERT,Achieved ERT
0,01110110010,00000110010,10e1.2,9177.2,10370.5
1,01010110010,00000110010,10e1.2,9109.7,10395.0
2,00110100000,00000110010,10e1.4,9156.7,12762.1
3,00000110010,01101100010,10e0.6,9054.0,11157.3
4,01001110000,01101100010,10e0.6,9076.2,11531.6
5,00000110010,01001110000,10e0.6,9611.7,11047.1
6,00000110010,01010110010,10e0.6,9548.5,9937.8
7,01110110010,01001110000,10e1.2,9635.6,11227.2
8,01010110010,01001110000,10e1.2,9568.0,10669.4
9,01010110010,01101100010,10e0.6,9186.9,12032.9
10,01001110000,01010110010,10e0.8,9702.0,9631.7
11,10111100010,01010110010,10e0.8,9893.7,8637.1
12,01001110000,11010110000,10e0.6,9828.7,9746.0
13,01110110110,11010110000,10e0.6,10034.0,10590.8
14,10111100010,11010110000,10e0.8,9839.5,10434.9
15,10111100010,00010110020,10e0.8,10216.1,13478.8
16,10101100110,00010110020,10e0.8,10134.7,15969.8
17,10010101120,00010110020,10e0.8,10115.6,14601.9
18,01110110110,00110111020,10e0.6,10429.2,12766.3
19,10101100110,00110111020,10e0.8,10210.1,18817.8
20,01110110010,01001110120,10e1.0,10199.6,14473.6
21,01110110110,01001110120,10e0.6,10172.1,12628.9
22,10101100110,01001110120,10e0.8,10122.0,11493.5
23,10010101120,00110111020,10e0.8,10191.0,16033.3
24,10010101120,00010110010,10e0.8,10176.0,12325.3
25,11000110000,00010110010,10e1.0,10539.2,11274.7
26,10010101000,00010110010,10e0.8,10248.5,15700.3
27,11000110000,01110110110,10e1.0,10386.9,13255.7
28,00100101000,01110110110,10e1.2,10288.3,13537.1
29,10010100120,01110110110,10e1.2,10271.3,14897.0
30,10010101000,11001110000,10e0.8,10526.3,7581.2
31,11000110000,01110110020,10e1.0,10570.8,12317.8
32,00111100000,11001110000,10e0.8,10571.2,8231.1
33,01110110000,11001110000,10e0.8,10483.8,11721.3
34,00100101000,01110110000,10e1.2,10515.6,14010.3
35,00100101000,01110110020,10e1.2,10515.6,14010.3
36,10010100120,01110110020,10e1.2,10498.7,11107.9
37,10010100120,01110110000,10e1.2,10498.7,11107.9
38,00110100000,01110110000,10e1.4,10551.8,13256.9
39,10010101000,01000110000,10e0.8,10633.2,8052.5
40,00110111020,01000110000,10e0.6,10304.4,12414.2
41,00111100000,01000110000,10e0.8,10678.1,8271.1
42,00110111020,01010110100,10e1.0,10583.2,12696.7
43,00110100100,01010110100,10e1.0,10504.0,15246.2
44,00111100000,01010110100,10e0.8,10716.5,11680.5
45,00110111020,11000110000,10e0.6,11445.7,12414.2
46,01110110020,11000110000,10e0.6,11557.5,11686.2
47,01110110000,11000110000,10e0.6,11557.5,11686.2
48,01110110020,01011110020,10e0.6,11257.3,11790.4
49,01110110000,01011110020,10e0.6,11257.3,11790.4
