,C1,C2,Splitpoint,Predicted ERT,Achieved ERT
0,10110111010,00110000010,10e1.6,3192.5,3879.4
1,00110011010,00110000010,10e1.6,3204.0,3808.8
2,00110011000,00110000010,10e1.6,3207.9,3752.7
3,10110111010,01110000110,10e1.6,3262.4,3732.1
4,10110111010,00110000020,10e1.6,3260.7,4023.3
5,00110011010,01110000110,10e1.6,3273.9,3667.5
6,00110011000,01110000110,10e1.6,3277.8,3572.5
7,00110011010,00110000020,10e1.6,3272.2,3962.0
8,00110011000,00110000020,10e1.6,3276.1,3873.1
9,11110011020,00110000000,10e1.6,3279.5,4258.3
10,11110011000,00110000000,10e1.6,3279.5,4258.3
11,10110010010,00110000000,10e1.6,3310.1,3679.5
12,10110010010,00111000010,10e1.6,3356.7,3705.4
13,10110010010,00111000020,10e1.6,3369.5,3933.1
14,00110010010,00111000000,10e1.6,3369.6,3805.8
15,00110000010,01101000010,10e-1.8,3382.3,3264.1
16,00110000010,01100000110,10e-0.8,3386.0,3492.5
17,00110010010,01100000110,10e1.0,3397.3,3381.5
18,01010011020,01100000110,10e1.6,3387.6,3941.9
19,00111000000,01101000010,10e-1.8,3403.8,3256.3
20,00111000020,01101000010,10e-1.8,3403.8,3256.3
21,00110000010,01011000020,10e-2.4,3443.5,3410.4
22,00110010010,01001000110,10e1.4,3461.0,3511.6
23,00110011100,01001000110,10e1.6,3457.8,4474.0
24,00111000000,01011000000,10e-1.8,3470.9,3415.2
25,00111000020,01011000000,10e-1.8,3470.9,3415.2
26,00111000020,01011000020,10e-1.8,3470.9,3415.2
27,00111000000,01011000020,10e-1.8,3470.9,3415.2
28,00111000010,01011000000,10e-2.2,3471.4,3449.9
29,01110010100,01001000110,10e1.6,3479.6,3783.2
30,00111000010,01111000000,10e-2.0,3479.5,3323.7
31,00111000010,01111000020,10e-2.0,3479.5,3323.7
32,00110000020,01111000020,10e-1.8,3503.8,3328.8
33,00110000000,01111000020,10e-1.8,3503.8,3328.8
34,00110000000,01111000000,10e-1.8,3503.8,3328.8
35,00110000020,01111000000,10e-1.8,3503.8,3328.8
36,00110011100,01000000110,10e1.6,3504.3,3660.2
37,01110000110,01000000110,10e-7.4,3518.9,3516.9
38,01110000110,01111000120,10e-7.4,3520.9,3515.4
39,01110010100,00101000010,10e1.6,3522.8,3931.5
40,01110000110,01111000010,10e-7.4,3523.5,3505.7
41,00110000020,01111000120,10e-6.8,3523.9,3518.4
42,00110000000,01111000120,10e-6.8,3523.9,3518.4
