,C1,C2,Splitpoint,Predicted ERT,Achieved ERT
0,10110001000,10100000020,10e-6.6,3160.7,4412.7
1,10110001000,10100000000,10e-6.6,3160.7,4412.7
2,10110001020,10100000020,10e-6.6,3160.7,4412.7
3,10110001020,10100000000,10e-6.6,3160.7,4412.7
4,00011110000,10110001020,10e1.6,3190.1,5757.3
5,00011110000,10110001000,10e1.6,3190.1,5757.3
6,10110001000,10010000020,10e-6.4,3178.2,3729.2
7,10110001020,10010000000,10e-6.4,3178.2,3729.2
8,10110000020,10110001020,10e0.2,3179.4,5173.8
9,10110000020,10110001000,10e0.2,3179.4,5173.8
10,01011000100,10110001000,10e1.6,3214.4,6506.2
11,01011000100,10110001020,10e1.6,3214.4,6506.2
12,10110001010,10110001120,10e-2.4,3258.1,5763.5
13,10110001010,10110001100,10e-2.4,3258.1,5763.5
14,10110000020,10110001100,10e-5.2,3260.1,5745.3
15,00011110000,10110001010,10e1.6,3304.6,6146.4
16,10110001010,10100000020,10e-7.2,3276.1,4470.2
17,10110001110,10110001120,10e-2.6,3320.1,5839.0
18,10110001110,10110001100,10e-2.6,3320.1,5839.0
19,10110000010,10110001010,10e0.8,3316.6,6814.7
20,01011000100,10110001010,10e1.6,3328.9,7620.2
21,10110001110,10100001010,10e-3.0,3318.2,4734.1
22,10110000010,10110001120,10e0.6,3320.8,6452.0
23,10110000010,10100001010,10e0.8,3352.4,5546.7
24,10110001100,10100000000,10e-6.8,3397.8,4137.6
25,10110001100,10100001010,10e-3.8,3392.9,4987.1
26,10110001120,10010000000,10e-6.6,3393.3,3852.7
27,10110001120,10010000020,10e-6.6,3393.3,3852.7
28,10110001100,10010000020,10e-6.6,3393.3,3852.7
29,10100001010,10010000000,10e-5.2,3411.6,3855.9
30,10110001120,10100001110,10e-7.2,3414.2,3696.2
31,10100001010,10100001110,10e-7.4,3440.1,3544.1
32,10100001010,10100000010,10e-1.6,3439.2,5544.6
33,10100000010,10100001110,10e-7.2,3462.2,3983.9
34,10100001020,10100000010,10e-2.4,3477.2,6331.6
35,10100001000,10100000010,10e-2.4,3477.2,6331.6
36,10100000010,10010000010,10e-7.4,3473.7,4052.9
37,10100000010,10000000000,10e-7.2,3480.1,3727.6
38,10000000010,10000000020,10e-5.6,3496.9,4160.8
39,10000000010,10000000000,10e-5.6,3496.9,4160.8
40,01100000100,10110001110,10e1.6,3523.6,6239.1
41,01001000110,10110001110,10e1.6,3518.3,5792.5
42,01000000100,10110001110,10e1.6,3518.4,6364.8
43,01010000100,10000000000,10e-5.8,3524.5,3688.9
44,01010000100,10000000020,10e-5.8,3524.5,3688.9
45,10000000010,00011000000,10e-5.4,3531.1,4159.9
46,01010000100,10010000010,10e-5.8,3589.3,4272.5
47,10100001020,10000000010,10e-2.0,3592.4,6379.2
48,10100001000,10000000010,10e-2.0,3592.4,6379.2
49,10100001000,10110000010,10e-2.2,3605.9,14237.9
