,C1,C2,Splitpoint,Predicted ERT,Achieved ERT
0,01110011020,01110001010,10e1.0,1104.0,1083.0
1,01110011000,01110001010,10e1.0,1104.0,1083.0
2,01110011120,01110001010,10e1.2,1107.5,1095.6
3,01110011020,01111000010,10e0.8,1113.4,971.2
4,01110011000,01111000010,10e0.8,1113.4,971.2
5,01110011020,01110001000,10e1.0,1117.1,1117.9
6,01110011000,01110001000,10e1.0,1117.1,1117.9
7,01110011120,01111000010,10e1.0,1117.6,979.5
8,01110011120,01110001000,10e1.0,1121.9,1120.2
9,11110111010,01110001020,10e1.4,1114.0,1358.4
10,11110111010,01000001010,10e1.4,1117.2,1321.2
11,11110011010,01110001020,10e1.0,1125.2,1129.5
12,01000011010,01110001020,10e1.0,1126.2,1111.4
13,11110011110,01000001010,10e1.2,1128.2,1110.6
14,11110011010,01000001010,10e1.2,1128.9,1093.6
15,11110111010,01110001110,10e1.4,1128.7,1272.1
16,11110011010,01110001110,10e1.0,1141.4,1129.9
17,01000011010,01110001110,10e1.0,1142.4,1120.7
18,01000011010,01100001010,10e1.0,1148.6,1100.6
19,11110011110,01100001010,10e1.2,1139.6,1099.3
20,01100011020,01100001010,10e1.2,1139.6,1107.7
21,11110011110,01001000010,10e1.0,1154.0,1019.0
22,01100011020,01001000010,10e1.0,1157.1,983.6
23,01100011020,01110001120,10e1.0,1157.7,1148.1
24,01100011120,01001000010,10e1.0,1156.5,994.3
25,01100011120,01110001120,10e1.0,1157.1,1144.6
26,01100011100,01110001120,10e1.0,1157.1,1144.6
27,01100011120,01110001100,10e1.0,1157.1,1144.6
28,01100011100,01110001100,10e1.0,1157.1,1144.6
29,01100011100,01000001110,10e1.0,1158.1,1121.1
30,01010011100,01110001100,10e1.0,1160.4,1162.5
31,01010011100,01000001110,10e1.0,1161.4,1130.6
32,01000011020,01000001110,10e1.0,1162.7,1128.1
33,01010011100,01101000010,10e1.0,1166.8,1029.2
34,01000011020,01101000010,10e1.0,1168.1,1041.0
35,01000011110,01101000010,10e1.0,1169.6,1028.6
36,01000011020,01110000010,10e1.0,1175.5,1100.5
37,01000011110,01110000010,10e0.8,1175.7,1099.5
38,01010011110,01110000010,10e1.0,1181.3,1105.5
39,01000011110,01111000000,10e1.0,1180.7,1092.8
40,01010011110,01111000000,10e1.0,1184.9,1062.7
41,01010011110,01111000020,10e1.0,1184.9,1062.7
42,01100111020,01010001010,10e1.2,1181.1,1238.5
43,11000011000,01010001010,10e1.2,1182.7,1159.0
44,11000011000,01111000020,10e1.0,1183.5,1095.6
45,11000011000,01111000000,10e1.0,1183.5,1095.6
46,01000011120,01010001010,10e1.2,1183.2,1149.3
47,01100111020,01111000020,10e1.2,1180.8,1183.4
48,01100111020,01010001020,10e1.2,1204.3,1304.1
49,01000011120,01100001110,10e1.0,1211.1,1141.4
