,C1,C2,Splitpoint,Predicted ERT,Achieved ERT
0,10010110010,01111000010,10e-0.2,1281.5,1236.5
1,10010110010,01111000020,10e-0.8,1294.3,1274.1
2,10010110010,01111000000,10e-0.8,1294.3,1274.1
3,00010110010,01111000010,10e-0.2,1311.8,1275.7
4,11000110010,01111000010,10e-0.2,1327.1,1299.5
5,00010110010,01111000000,10e-0.4,1333.3,1296.8
6,00010110010,01111000020,10e-0.4,1333.3,1296.8
7,11000110010,01111000000,10e-0.8,1337.2,1329.1
8,11000110010,01111000020,10e-0.8,1337.2,1329.1
9,01001110110,01001000010,10e0.6,1346.1,1278.6
10,01001110010,01001000010,10e-0.8,1352.7,1323.9
11,01000110010,01001000010,10e0.2,1346.0,1292.3
12,01001110010,01111000110,10e-1.2,1353.6,1349.5
13,01000110010,01101000010,10e0.0,1355.9,1301.4
14,01001110010,01101000010,10e-1.2,1359.1,1343.1
15,01001110110,01101000010,10e0.4,1355.8,1300.9
16,01000110010,01111000110,10e-1.2,1365.1,1353.8
17,01000110110,01111000110,10e-1.0,1376.3,1363.0
18,01001110110,01111000120,10e-0.6,1393.3,1393.5
19,01000110110,01111000100,10e-0.8,1393.9,1384.6
20,01000110110,01111000120,10e-0.8,1393.9,1384.6
21,11000110110,01111000120,10e-0.6,1397.1,1385.1
22,11000110110,01111000100,10e-0.6,1397.1,1385.1
23,11001110010,01111000100,10e-1.8,1402.0,1408.2
24,11001110010,00111000010,10e-1.4,1413.0,1399.7
25,11000110110,00111000010,10e-0.8,1410.7,1386.5
26,11001110010,01101000000,10e-1.4,1410.4,1405.4
27,10010110020,00111000010,10e-0.2,1422.2,1339.4
28,00010110000,01101000000,10e-0.6,1419.7,1372.2
29,10000110010,01101000000,10e-0.8,1424.1,1405.1
30,10000110010,01110000010,10e-1.0,1433.3,1450.7
31,01110110010,01110000010,10e-1.6,1433.0,1446.3
32,00010110000,01110000010,10e-0.8,1431.3,1432.5
33,01110110010,01101000120,10e-2.0,1441.6,1443.9
34,01110110010,01110011110,10e-1.8,1441.8,1458.8
35,10000110010,01101000120,10e-1.2,1446.6,1445.5
36,10010110020,01101000120,10e-1.0,1444.3,1423.5
37,10010110020,01110011110,10e-1.2,1447.8,1448.5
38,01010110110,10010110010,10e1.6,1445.9,2389.2
39,00010110000,01110011110,10e-0.8,1449.7,1446.0
40,11010110110,10010110010,10e1.6,1448.0,2495.3
41,01100110110,10010110010,10e1.6,1452.5,2486.5
42,01010110110,11000110010,10e1.6,1470.9,1485.6
43,11110110010,01001000020,10e-2.2,1473.8,1468.7
44,11010110110,11000110010,10e1.6,1473.0,1494.8
45,01111110010,01001000020,10e-1.6,1477.2,1474.4
46,01110110110,01001000020,10e-1.2,1478.6,1471.4
47,01100110110,11000110010,10e1.6,1477.6,1505.2
48,01010110110,01110110010,10e1.0,1488.3,1521.5
49,11110110010,01001000120,10e-3.0,1499.0,1504.6
