,C1,C2,Splitpoint,Predicted ERT,Achieved ERT
0,00110110010,01100111100,10e0.0,21040.1,30254.8
1,00110110010,11000110100,10e0.4,23315.5,30115.7
2,00110110010,01100110010,10e0.0,21877.0,28517.9
3,00110111010,11000110100,10e0.6,23492.5,44189.7
4,00011110010,11000110100,10e0.6,23730.8,36900.9
5,11000110100,01100111100,10e0.0,21821.4,30804.0
6,10110101110,00110111010,10e0.2,26367.5,45590.1
7,00100100010,00110111010,10e0.2,26938.2,62069.2
8,10110101110,01100110010,10e0.2,24456.3,13949.2
9,11000110100,01100110010,10e0.0,22658.3,29376.2
10,11000110100,00110111010,10e0.0,24089.1,44057.6
11,10110101110,01100111100,10e0.2,21346.3,16401.5
12,00110111010,00110110010,10e1.0,24849.0,54948.1
13,00110111110,00110110010,10e1.0,24841.9,45229.0
14,10110101120,00110110010,10e1.6,24859.7,55437.3
15,00100100010,00011110020,10e0.2,29182.6,72373.0
16,10010101120,00011110020,10e0.2,29263.7,61705.2
17,10010101100,00011110020,10e0.2,29263.7,61705.2
18,00100100010,00011110010,10e0.2,30107.6,67504.6
19,00110111010,00110111110,10e0.0,25386.4,42998.0
20,10010101120,00011110010,10e0.2,30188.7,61388.9
21,10010101100,00011110010,10e0.2,30188.7,61388.9
22,10010101120,00001110010,10e0.2,30485.3,61822.9
23,10010101100,00001110010,10e0.2,30485.3,61822.9
24,10001100110,00001110010,10e0.2,30455.5,70966.5
25,10001100110,00100110010,10e0.2,29845.4,74381.3
26,10001100110,00110111110,10e0.2,30219.3,102525.9
27,10010101110,00100110010,10e0.2,30113.2,56826.4
28,10010101110,00110111110,10e0.2,30487.1,67254.5
29,10100100010,00100110010,10e0.2,30016.2,76450.8
30,10010101110,00000110010,10e0.2,31226.5,58710.3
31,10100100010,00000110010,10e0.2,31129.5,72657.5
32,10011100120,00000110010,10e0.2,31243.7,74918.0
33,10100100010,00000110020,10e0.2,30673.6,76918.3
34,10011100120,00000110020,10e0.2,30787.8,78283.0
35,10110100110,00000110020,10e0.2,30701.5,86381.7
36,10011100120,00110110000,10e0.2,31977.6,81599.1
37,10110100110,00110110020,10e0.2,31891.3,86805.8
38,10110100110,00110110000,10e0.2,31891.3,86805.8
39,10100101100,00110110020,10e0.2,32193.2,68960.6
40,10100101100,00110110000,10e0.2,32193.2,68960.6
41,00100110010,00110110020,10e0.0,28062.3,46834.1
42,00100110010,00101110010,10e0.0,28945.2,47219.2
43,00100110010,00001110000,10e0.0,28752.5,56376.1
44,00011110010,00001110000,10e0.0,29213.4,64304.0
45,10100101100,00101110010,10e0.2,32243.9,67902.3
46,00001110010,00001110000,10e0.0,29816.3,55671.6
47,00001110010,00100110000,10e0.0,30146.8,58250.0
48,10100100110,00100110000,10e0.2,33538.7,82889.1
