,C1,C2,Splitpoint,Predicted ERT,Achieved ERT
0,10110011010,01001110010,10e-1.8,1364.3,1439.3
1,01110011120,01001110010,10e-2.0,1368.6,1460.4
2,01110011100,01001110010,10e-2.0,1368.6,1460.4
3,10110011010,11000110110,10e-1.8,1371.7,1423.1
4,01110011120,11000110110,10e-2.0,1371.8,1432.8
5,01110011100,11000110110,10e-2.0,1371.8,1432.8
6,10110011010,01000110110,10e-1.8,1375.5,1423.1
7,01110011100,01000110110,10e-2.0,1376.2,1432.8
8,01110011120,01000110110,10e-2.0,1376.2,1432.8
9,00110011020,01000110010,10e-2.0,1392.3,1456.3
10,00110011000,01000110010,10e-2.0,1392.3,1456.3
11,01110011020,01000110010,10e-2.0,1395.5,1464.3
12,01110110010,11001110110,10e-3.6,1398.4,1433.8
13,01111110010,11001110110,10e-3.8,1405.0,1437.6
14,11110110010,11001110110,10e-3.6,1399.7,1458.5
15,01110011020,11001110010,10e-2.2,1396.5,1468.5
16,00110011000,11001110010,10e-2.0,1397.4,1469.1
17,00110011020,11001110010,10e-2.0,1397.4,1469.1
18,01110011020,01001110110,10e-2.2,1406.0,1483.9
19,00110011000,01001110110,10e-2.2,1407.7,1516.4
20,00110011020,01001110110,10e-2.2,1407.7,1516.4
21,10110011000,11000110010,10e-1.8,1420.5,1479.4
22,01100011110,11000110010,10e-2.0,1419.6,1455.9
23,10110111000,11000110010,10e-1.4,1422.3,1451.7
24,10110111020,11110110110,10e-1.2,1432.4,1471.4
25,10110111000,11110110110,10e-1.2,1432.4,1471.4
26,10110011000,11110110110,10e-1.6,1443.5,1504.7
27,10110111000,01111110010,10e-1.0,1448.5,1465.1
28,10110111020,01111110010,10e-1.0,1448.5,1465.1
29,10110111020,01110110110,10e-1.2,1452.9,1471.4
30,01111110010,11101110010,10e-4.8,1454.1,1463.9
31,10110011000,01111110010,10e-1.6,1456.4,1503.3
32,01111110010,01100110010,10e-5.0,1463.9,1481.7
33,01110110010,11101110010,10e-4.4,1463.6,1493.5
34,01001110010,11101110010,10e-6.8,1462.8,1480.2
35,01001110010,01100110010,10e-6.8,1463.7,1480.8
36,01100011110,01110110110,10e-1.8,1466.0,1523.8
37,01010011020,01110110110,10e-1.8,1469.8,1499.1
38,01100011110,11111110010,10e-1.8,1469.1,1498.5
39,01110110010,01100110010,10e-4.4,1472.9,1482.4
40,01001110010,01100110110,10e-7.4,1472.7,1485.6
41,01010011020,11111110010,10e-1.8,1472.9,1497.2
42,01100011020,11111110010,10e-1.8,1472.5,1505.6
43,01010011020,01110110010,10e-1.8,1477.8,1524.6
44,11110110010,01010110010,10e-3.4,1478.0,1521.0
45,01100011020,01110110010,10e-1.6,1478.2,1506.2
46,01110111000,01110110010,10e-1.0,1482.2,1511.2
47,01100011020,01010110010,10e-2.0,1482.8,1543.6
48,10110110010,01010110010,10e-3.0,1485.2,1526.8
49,11110110010,01100110110,10e-4.4,1487.5,1509.7
