,C1,C2,Splitpoint,Predicted ERT,Achieved ERT
0,00110010010,00110000110,10e1.6,5822.3,6204.0
1,10110010020,00110000110,10e1.6,5826.4,6248.3
2,10110010000,00110000110,10e1.6,5826.4,6248.3
3,00110010020,00110000100,10e1.4,6635.4,6770.4
4,00110010020,00110000120,10e1.4,6635.4,6770.4
5,00110010000,00110000100,10e1.4,6635.4,6770.4
6,10110010000,00110000100,10e1.4,6622.1,7657.8
7,10110010000,00110000120,10e1.4,6622.1,7657.8
8,00110000110,10110010000,10e1.0,7566.3,8238.2
9,00110010000,10110010000,10e1.0,7598.4,7778.4
10,00110010020,10110010000,10e1.0,7598.4,7778.4
11,00110010010,10110010020,10e1.2,7642.1,7963.1
12,10110010020,10110010020,10e1.6,7629.7,9296.4
13,00110000110,00110010000,10e1.0,7716.4,8238.2
14,00110010010,00110010000,10e1.6,7743.3,8099.5
15,10110010020,00110010000,10e1.6,7747.4,9296.4
16,00100010020,00110010020,10e1.6,7738.7,7979.2
17,00100010010,00110010020,10e1.6,7760.8,7810.4
18,00111010000,00110010020,10e1.6,7765.2,7368.1
19,00110000120,00100000110,10e1.0,8101.3,7622.8
20,10110010010,00100000110,10e1.0,8140.4,7264.7
21,00110000100,00110010110,10e1.0,8398.2,9259.5
22,00110000120,00110010110,10e1.0,8398.2,9259.5
23,00110000120,10110010010,10e1.0,8488.6,8735.6
24,10110010010,00110010110,10e1.0,8437.3,8487.8
25,00100010020,10110010010,10e1.4,8527.5,8264.2
26,00100010010,00110010010,10e1.6,8715.5,7930.9
27,00111010000,00110010010,10e1.6,8719.8,7566.7
28,10110010010,00110010120,10e1.0,9062.7,9149.0
29,00100010010,00110010120,10e1.0,9057.1,10007.9
30,10111010020,00110010100,10e1.0,9096.1,10096.3
31,10111010020,00110010120,10e1.0,9096.1,10096.3
32,10111010020,00111010000,10e1.0,9054.3,10048.0
33,00110010110,00110010100,10e1.0,9248.0,10374.3
34,00111010000,00110010100,10e1.0,9203.7,9799.2
35,00110010110,00111010000,10e1.0,9206.2,9873.7
36,10100010010,00111010000,10e1.2,9212.5,10405.1
37,10100010010,00100000100,10e1.2,9251.3,7766.9
38,10100010020,00100000100,10e1.2,9233.2,8983.7
39,10100010020,10111010020,10e1.6,9694.4,9150.2
40,10100010000,10111010020,10e1.6,9694.4,9150.2
41,10100010010,00111000110,10e1.0,9633.8,11480.0
42,00100000110,00111000110,10e1.0,9558.0,8560.9
43,10101010000,10111010020,10e1.6,9710.6,9181.8
