,C1,C2,Splitpoint,Predicted ERT,Achieved ERT
0,01000110010,01111000110,10e-0.6,1433.4,1421.8
1,01000110010,01111000020,10e0.0,1432.2,1407.8
2,01001110010,01111000110,10e-0.8,1429.0,1431.7
3,01000110010,01111000010,10e0.2,1424.6,1385.8
4,01001110010,01111000020,10e0.0,1439.6,1410.0
5,01001110010,01111000010,10e0.2,1433.2,1387.9
6,01111110010,01111000010,10e0.6,1456.6,1401.6
7,01111110010,01111000020,10e0.4,1465.0,1443.4
8,11001110010,01111000110,10e-0.8,1474.6,1468.2
9,01111110010,00111000010,10e0.4,1482.1,1480.7
10,11001110010,01001000010,10e-1.2,1493.5,1468.6
11,11001110010,00111000010,10e0.4,1493.4,1469.4
12,01110110010,00111000010,10e-0.2,1506.3,1495.2
13,01110110010,01101000110,10e-0.2,1510.1,1476.5
14,01110110010,01001000010,10e-0.8,1504.5,1481.2
15,01000110110,01101000110,10e-0.2,1520.5,1482.2
16,01000110110,01001000010,10e-0.8,1515.7,1871.7
17,11110110010,01101000110,10e-0.2,1528.0,1487.9
18,01000110110,01011000010,10e-0.4,1515.5,1864.7
19,11110110010,01011000010,10e-0.2,1528.8,1490.4
20,11110110010,01101000010,10e0.0,1528.4,1469.2
21,11000110010,01011000010,10e-1.2,1543.5,1527.4
22,11000110010,01101000010,10e-1.2,1551.6,1520.5
23,11000110010,01001000110,10e-1.8,1550.7,1533.7
24,01110110110,01101000010,10e-0.2,1562.4,1504.1
25,01110110110,01111000120,10e0.0,1558.8,1525.6
26,01110110110,01111000100,10e0.0,1558.8,1525.6
27,11000110110,01111000100,10e-0.2,1565.7,1540.0
28,11000110110,01111000120,10e-0.2,1565.7,1540.0
29,11000110110,00111000020,10e-0.8,1564.6,1573.5
30,11111110010,01111000100,10e0.2,1563.4,1551.0
31,11111110010,01111000120,10e0.2,1563.4,1551.0
32,01100110010,01001000110,10e-1.6,1578.4,1563.6
33,11110110110,01000110010,10e1.6,1573.6,1584.8
34,01100110010,00111000020,10e-1.2,1579.7,1581.9
35,11110110110,11000110010,10e1.4,1577.7,1588.0
36,11111110010,00111000020,10e-0.8,1583.6,1594.7
37,11110110110,01001000110,10e-0.8,1586.9,1555.6
38,01100110010,01011000020,10e-1.4,1594.7,1582.8
39,01010110010,01110000120,10e0.2,1602.3,1604.3
40,01101110010,01000110010,10e1.6,1601.6,1625.1
41,01010110010,01011000020,10e-0.8,1613.2,1587.2
42,11010110000,01000110010,10e1.6,1609.8,1631.6
43,01101110010,11000110010,10e1.6,1606.6,1625.1
44,01101110010,01011000020,10e-0.8,1612.5,1582.6
45,01010110010,01001000020,10e-0.2,1614.6,1588.5
46,11010110000,11000110010,10e1.6,1614.8,1631.6
47,11010110010,01110000120,10e-1.0,1615.4,1631.4
48,11010110010,01101000020,10e-1.6,1615.3,1596.1
49,11100110010,01101000020,10e-2.2,1620.4,1616.0
