,C1,C2,Splitpoint,Predicted ERT,Achieved ERT
0,00110000110,00110000110,10e1.6,1877.0,2053.1
1,00110000100,00110000110,10e1.6,1849.6,2201.1
2,00110000110,00110000100,10e1.6,2350.3,2386.6
3,00110000100,00110000100,10e1.6,2322.9,2347.2
4,00110000120,00110000120,10e1.6,2322.9,2347.2
5,00110000120,00110000100,10e1.6,2322.9,2347.2
6,00110000100,00110000120,10e1.6,2322.9,2347.2
7,00100000120,00100000110,10e1.6,2605.5,2746.6
8,00100000100,00100000110,10e1.6,2605.5,2746.6
9,00100000110,00100000110,10e1.6,2638.7,2499.3
10,00100000100,00100000100,10e1.6,2855.4,2882.7
11,00100000100,00100000120,10e1.6,2855.4,2882.7
12,00100000120,00100000100,10e1.6,2855.4,2882.7
13,00100000120,00100000120,10e1.6,2855.4,2882.7
14,00100000110,00100000120,10e1.6,2888.5,2584.9
15,00100000110,00100000100,10e1.6,2888.5,2584.9
16,10110000120,00111000110,10e1.6,3436.8,2896.6
17,10110000100,00111000110,10e1.6,3436.8,2896.6
18,00111000110,00111000110,10e1.6,3458.1,3772.9
19,10110000120,00111000120,10e1.6,3689.5,3245.8
20,10110000120,00111000100,10e1.6,3689.5,3245.8
21,10110000100,00111000120,10e1.6,3689.5,3245.8
22,00110010020,10110000110,10e1.6,3564.6,2465.4
23,10110000110,00110010010,10e1.6,3839.3,3569.8
24,00110010000,10100010010,10e1.6,3793.9,4007.3
25,00110010020,10100010010,10e1.6,3793.9,4007.3
26,00111010010,10110010010,10e1.6,3965.0,3452.7
27,10110010010,10110010010,10e1.6,3993.8,3491.6
28,10111000110,10110010010,10e1.6,4047.8,4036.2
29,00111010010,00110010020,10e1.6,4091.0,3902.0
