,C1,C2,Splitpoint,Predicted ERT,Achieved ERT
0,00110110010,00110101100,10e-0.6,6869.7,39569.2
1,00110110010,00110101120,10e-0.6,6869.7,39569.2
2,00110000120,00110101100,10e-0.6,7259.5,32416.0
3,00110000120,00110101120,10e-0.6,7259.5,32416.0
4,00110000100,00110101120,10e-0.6,7259.5,32416.0
5,00110000100,00110101100,10e-0.6,7259.5,32416.0
6,00110110010,00000101110,10e-0.6,10392.9,43049.2
7,00110010010,00000011020,10e-3.0,10248.8,1207219.2
8,00110000100,00000101110,10e-0.6,10782.7,52440.8
9,00110000120,00000101110,10e-0.6,10782.7,52440.8
10,00110010020,00000011020,10e-3.0,10637.2,2469548.8
11,00110010000,00000011020,10e-3.0,10637.2,2469548.8
12,00110010010,10001010020,10e-3.0,11381.8,793305.2
13,00110010000,10001010020,10e-3.0,11770.3,742070.7
14,00110010020,10001010020,10e-3.0,11770.3,742070.7
15,00110010020,00100101100,10e-0.8,12867.6,65434.6
16,00110010000,00100101100,10e-0.8,12867.6,65434.6
17,00110010010,00100101100,10e-0.8,13017.6,63579.0
18,00110000110,00111101120,10e-0.6,14307.0,63209.3
19,10110010000,00111101120,10e-0.6,14467.8,56664.7
20,10110010020,00111101120,10e-0.6,14467.8,56664.7
21,10110010000,00010101120,10e-0.6,15958.8,88165.4
22,10110010020,00010101120,10e-0.6,15958.8,88165.4
23,00110000110,00001010020,10e-3.2,15874.6,584365.1
24,10110010010,00001010020,10e-3.2,16177.0,746236.8
25,10110010010,00000010020,10e-3.2,15534.7,311769.6
26,10110010020,00101101100,10e-0.6,17413.3,67308.7
27,10110010000,00101101100,10e-0.6,17413.3,67308.7
28,00101010000,00101101100,10e-0.6,17495.4,96095.2
29,00111010010,00001010020,10e-3.0,19224.7,47909.1
30,00111010010,00000010020,10e-3.2,18642.0,48207.2
31,00110110020,00110010010,10e0.4,21015.5,23824.4
32,00100010010,00000010020,10e-3.2,19985.6,749476.0
33,10110010010,10110110020,10e-3.2,20473.3,41055.4
34,10110110010,00110010010,10e0.6,21037.6,25808.4
35,10110000120,00110010010,10e0.4,21121.1,34872.4
36,00101010020,00001101120,10e-0.6,21747.4,136622.2
37,00101010000,00001101120,10e-0.6,21747.4,136622.2
38,00111010010,00001101120,10e-0.6,21693.7,127215.0
39,00110110020,00110010000,10e0.4,22923.1,28827.1
40,00110110020,00110010020,10e0.4,22923.1,28827.1
41,10110110010,00110010000,10e0.6,23029.8,27983.3
42,10110110010,00110010020,10e0.6,23029.8,27983.3
43,10110000100,00110010000,10e0.4,23028.7,32108.8
44,10110000120,00110010020,10e0.4,23028.7,32108.8
45,00100010010,10110110020,10e-2.8,24391.0,60447.1
46,00111010020,10110110020,10e-2.8,25522.4,36982.8
47,10110000100,10110010010,10e0.2,25151.6,31220.7
48,10110000120,10110010010,10e0.2,25151.6,31220.7
