,C1,C2,Splitpoint,Predicted ERT,Achieved ERT
0,00110011020,00110000020,10e1.2,1720.3,2219.2
1,00110011000,00110000020,10e1.2,1720.3,2219.2
2,00110011010,00110000020,10e1.2,1720.9,2557.1
3,00110000020,01001000000,10e0.0,1764.6,1955.8
4,00110010000,01001000000,10e0.0,1903.0,2056.8
5,00110010020,01001000000,10e0.0,1903.0,2056.8
6,00110000020,01001010010,10e-3.4,1923.7,1965.5
7,00110000020,00110010010,10e-5.0,1933.2,1939.6
8,00110011020,00100000010,10e1.2,1960.6,2222.6
9,00110011000,00100000010,10e1.2,1960.6,2222.6
10,00110011010,00100000010,10e1.2,1961.2,2228.4
11,00100000010,01001010010,10e-2.6,2145.9,2208.4
12,00110010000,01001010010,10e0.0,2166.4,2387.2
13,00100000010,00110011010,10e-3.4,2156.6,2177.7
14,00100000010,00110010010,10e-3.8,2164.7,2169.6
15,00110011000,00110000100,10e1.2,2170.8,2661.1
16,00110011020,00110000120,10e1.2,2170.8,2661.1
17,00110011010,00110000100,10e1.2,2171.5,2611.8
18,00110010020,00110001000,10e0.0,2187.8,2383.7
19,00110010000,00110001000,10e0.0,2187.8,2383.7
20,00110010020,00101000000,10e0.0,2192.6,2205.2
21,10110011010,00110000100,10e1.2,2187.6,2623.0
22,10110011010,00110000120,10e1.2,2187.6,2623.0
23,00110011120,00110000120,10e1.2,2194.5,2731.5
24,00110010010,00110001000,10e0.0,2236.0,2425.3
25,10110011010,00110000110,10e1.2,2232.6,2485.9
26,00110010010,00101000000,10e0.0,2240.8,2244.7
27,00110011100,00110000110,10e1.2,2239.5,2590.5
28,00110011120,00110000110,10e1.2,2239.5,2590.5
29,00110000100,00101000000,10e0.0,2247.0,2258.7
30,00110010010,00110001010,10e0.0,2283.8,2393.5
31,00110000120,00110001010,10e0.0,2290.0,2335.9
32,00110000100,00110001010,10e0.0,2290.0,2335.9
33,00110011120,00110011010,10e1.6,2281.0,2286.9
34,00110011100,00110011010,10e1.6,2281.0,2286.9
35,00110000100,00110010010,10e-4.6,2308.4,2305.4
36,00110000120,00111010010,10e-4.8,2316.7,2305.2
37,00110000120,00110010020,10e-4.8,2317.2,2310.3
38,00110011100,00110011000,10e1.6,2344.6,2487.1
39,00111010020,00110011000,10e1.6,2354.5,2375.0
40,00111010000,00110011020,10e1.6,2354.5,2375.0
41,00111010020,00110011020,10e1.6,2354.5,2375.0
42,00111010000,00110011000,10e1.6,2354.5,2375.0
43,00000011010,00110011020,10e1.6,2353.6,2416.4
44,00000011010,00110010020,10e1.2,2387.4,2602.6
45,00000011010,00110010000,10e1.2,2387.4,2602.6
46,00111010020,00110010000,10e1.6,2392.2,2436.7
47,00111010000,00110010000,10e1.6,2392.2,2436.7
48,10110010020,00110010020,10e1.6,2390.7,2457.8
49,00110000110,00111010010,10e-5.2,2406.4,2397.1
