,C1,C2,Splitpoint,Predicted ERT,Achieved ERT
0,00110011020,00110000000,10e0.6,2091.4,2467.6
1,00110011000,00110000000,10e0.6,2091.4,2467.6
2,00110011020,00110000010,10e0.6,2092.2,2448.7
3,00110011000,00110000010,10e0.6,2092.2,2448.7
4,00110011000,01100001100,10e0.0,2045.4,2293.4
5,00110011020,01100001100,10e0.0,2045.4,2293.4
6,00110011010,00110000010,10e1.2,2039.1,2643.2
7,00110011010,00110000000,10e1.2,2039.3,2706.2
8,00110010000,01100001100,10e0.0,2067.7,2305.4
9,00110010000,00101000020,10e0.0,2209.5,2215.6
10,00110010020,00101000020,10e0.0,2209.5,2215.6
11,00110010010,00101000020,10e0.0,2215.6,2238.4
12,00110000010,00110010010,10e-5.4,2225.6,2238.9
13,00110000010,00111010010,10e-7.0,2229.9,2234.0
14,00110011010,00110000110,10e1.2,2232.4,2643.2
15,00110000010,00110010000,10e-5.6,2231.4,2236.7
16,00110000000,00110010010,10e-5.4,2233.1,2239.9
17,00110000000,00111010010,10e-6.6,2237.6,2239.7
18,00110000000,00110010020,10e-5.4,2238.6,2250.4
19,10110111010,00110000110,10e1.2,2240.1,2850.2
20,10110111000,00110000110,10e1.2,2241.7,2736.7
21,10110111010,00110000100,10e1.2,2256.5,3040.4
22,10110111010,00110000120,10e1.2,2256.5,3040.4
23,10110111000,00110000100,10e1.2,2258.1,2881.3
24,10110111020,00110000100,10e1.2,2258.1,2881.3
25,10110111000,00110000120,10e1.2,2258.1,2881.3
26,10110111020,00110000120,10e1.2,2258.1,2881.3
27,00110010020,00110011010,10e0.0,2292.8,2278.0
28,00110010000,00110011010,10e0.0,2292.8,2278.0
29,00110010010,00110011010,10e0.0,2299.0,2295.3
30,00110010020,00010000020,10e0.0,2332.5,2391.4
31,10110111020,00110011020,10e1.6,2329.2,2634.6
32,00110111000,00110011020,10e1.6,2332.2,2532.6
33,00110111000,00110011000,10e1.6,2332.2,2532.6
34,00110010010,00010000020,10e0.0,2338.7,2409.2
35,00110011110,00110011020,10e1.6,2344.6,2461.0
36,00110011110,00110011000,10e1.6,2344.6,2461.0
37,00110011120,00110011000,10e1.6,2349.6,2386.1
38,00110111000,00110010020,10e1.2,2384.3,2673.0
39,00110011110,00110010000,10e1.2,2395.3,2483.1
40,00110011120,00110010020,10e1.2,2403.1,2611.9
41,00110011120,00110010000,10e1.2,2403.1,2611.9
42,00110011100,00110010010,10e1.2,2412.0,2606.0
43,00110000120,00111010010,10e-4.0,2424.3,2420.9
44,00110000100,00110011110,10e-7.4,2436.3,2444.5
45,00110000120,00110011110,10e-7.4,2436.3,2444.5
46,00110000120,00111010000,10e-7.4,2437.8,2439.7
47,00110000100,00111010020,10e-7.4,2437.8,2439.7
48,00110000100,00111010000,10e-7.4,2437.8,2439.7
49,00110000110,00110011110,10e-7.0,2453.5,2463.4
