,C1,C2,Splitpoint,Predicted ERT,Achieved ERT
0,00110010000,00110010010,10e1.4,11023.8,11166.5
1,00110010020,00110010010,10e1.4,11023.8,11166.5
2,00110010010,00110010010,10e1.6,11117.6,10673.0
3,00110010020,10110010010,10e1.4,11254.1,11166.5
4,00110010000,10110010010,10e1.4,11254.1,11166.5
5,00110010000,00110010000,10e1.6,11172.6,10455.7
6,00110010020,00110010020,10e1.6,11172.6,10455.7
7,00110010010,00110010020,10e1.6,11165.0,11458.2
8,00110010010,00110010000,10e1.6,11165.0,11458.2
9,10110010010,00110010020,10e1.6,11171.6,11317.5
10,10110010010,00110010000,10e1.6,11171.6,11317.5
11,00110011010,10110010010,10e1.4,11457.5,12023.8
12,10110010010,00111010000,10e1.6,11908.8,11773.4
13,00111010010,00111010020,10e1.6,11941.8,13589.6
14,00111010010,00111010000,10e1.6,11941.8,13589.6
15,00110011010,00111010000,10e1.4,11995.7,13469.9
16,00110011010,00111010020,10e1.4,11995.7,13469.9
17,00111010010,00110011010,10e1.6,12002.5,11765.3
18,00000010010,00111010020,10e1.6,11945.1,12774.5
19,00000010010,00110011010,10e1.6,12005.7,11732.5
20,00100010010,00110011010,10e1.6,11992.3,11767.9
21,00111010020,00110011120,10e1.4,12482.0,14856.3
22,00111010000,00110011120,10e1.4,12482.0,14856.3
23,00111010000,00110011100,10e1.4,12482.0,14856.3
24,00111010020,00110011100,10e1.4,12482.0,14856.3
25,00100010010,00110011120,10e1.4,12424.6,15941.9
26,00100010010,00110011100,10e1.4,12424.6,15941.9
27,00000010010,00110011000,10e1.6,12322.9,13581.5
28,00111010000,00110011020,10e1.4,12285.0,13047.1
29,00111010020,00110011020,10e1.4,12285.0,13047.1
30,10110010000,00110011000,10e1.6,12302.1,11738.6
31,10110010020,00110011020,10e1.6,12302.1,11738.6
32,10110010020,00110011000,10e1.6,12302.1,11738.6
33,00110011000,00111010010,10e1.4,12459.3,13088.2
34,00110011020,00111010010,10e1.4,12459.3,13088.2
35,00001010010,00111010010,10e1.4,12422.6,13255.4
36,10110010020,00001010010,10e1.6,12819.2,13467.3
37,10110010000,00001010010,10e1.6,12819.2,13467.3
38,00110011020,00001010010,10e1.4,12898.4,14554.7
39,00110011000,00101010010,10e1.4,13523.7,14072.0
40,00110011020,00101010010,10e1.4,13523.7,14072.0
41,00001010010,00101010010,10e1.4,13487.0,13969.0
42,10110010000,00110000110,10e1.6,13599.1,13585.9
43,00001010010,00110000110,10e1.6,13641.7,14357.1
44,00110011000,00110000110,10e1.4,13704.5,15367.5
45,00110000110,10110011000,10e1.4,14281.1,15290.5
46,00101010010,00100010010,10e1.6,13970.4,14114.5
47,00110000110,00100010010,10e1.4,14019.3,15246.5
48,10000010010,00100010010,10e1.6,13961.4,13889.7
49,00110000100,10110011000,10e1.4,14291.4,13829.3
